item_id,nli_raw_gameplay,nli_raw_story,nli_raw_graphics,nli_ctr_gameplay,nli_ctr_story,nli_ctr_graphics,n_reviews,n_plot,n_characters,n_writing
B00000DMAT,0.9242,0.8119,0.7569,0.4862,-0.0533,-0.1056,23,16,7,4
B00000DMB3,0.9411,0.9023,0.7026,0.2391,0.2176,-0.1714,21,15,14,9
B00000F1GM,0.7881,0.8696,0.4046,0.3578,-0.0291,-0.1334,22,16,5,11
B00000JRSB,0.6525,0.648,0.5204,0.0589,0.0955,-0.0144,66,36,37,14
B00000K2R4,0.8964,0.8052,0.8802,0.3781,0.0278,0.3241,23,12,8,5
B00001OWYW,0.6077,0.522,0.7254,0.196,0.038,-0.1227,20,15,11,5
B00001X50M,0.7439,0.7281,0.6559,0.225,0.1584,-0.1471,28,20,18,6
B00001XDUB,0.1988,0.376,0.2527,-0.2277,0.0034,0.2509,21,11,8,3
B0000296O5,0.1368,0.2187,0.4685,0.0768,0.1521,0.051,53,31,27,12
B00002R28C,0.4459,0.4665,0.4103,0.1884,0.2228,0.1092,27,9,8,4
B00002STGL,0.8801,0.7934,0.4291,0.4985,0.0387,-0.2761,18,16,6,5
B00002STXN,0.9575,0.8027,0.8031,0.4796,0.0519,-0.0553,21,17,9,8
B00002SVFZ,0.8744,0.6466,0.8425,0.4332,-0.027,-0.0752,23,19,7,7
B000035Y6D,0.7393,0.5923,0.8953,0.2593,0.0969,0.0118,22,11,9,4
B00004TC6E,0.3438,-0.1433,0.5922,0.283,-0.0422,0.233,30,16,7,5
B00004Y57G,0.792,0.5267,0.497,0.1761,0.029,-0.0754,54,25,27,13
B00004YRQ9,0.6669,0.3645,,0.2925,-0.0099,,33,7,7,0
B00004YRQA,-0.036,-0.2649,,0.4053,-0.1668,,34,2,9,0
B00004YUWA,0.4937,0.5014,0.6822,0.0695,0.1295,-0.0714,25,16,13,11
B00005BW7Q,0.3305,0.3415,0.3938,0.1292,0.043,0.0691,23,14,10,8
B00005LOXE,0.9395,0.9178,0.8417,0.3288,0.0018,-0.0205,19,6,4,2
B00005MDZY,0.5565,-0.6592,0.8118,0.4148,-0.3901,0.2098,21,17,1,4
B00005ME6N,0.1852,0.2661,0.7159,0.1014,0.0983,-0.1407,25,14,7,1
B00005ME6O,0.4306,0.6498,0.5031,-0.0427,0.1712,-0.0861,25,14,13,7
B00005ML10,0.5133,0.5877,0.7994,0.1066,0.1266,-0.0096,34,25,20,11
B00005NCCR,0.5902,0.0913,0.7768,0.2908,-0.1315,0.0184,27,24,14,12
B00005NZ1G,0.6675,0.6404,0.9041,0.2722,0.1571,0.0989,49,31,21,9
B00005O0I2,0.8247,0.7005,0.8225,0.3241,0.0032,-0.072,42,28,15,10
B00005Q8LR,0.3701,0.2987,0.7548,0.1129,-0.0191,0.0557,29,23,14,10
B00005Q8M0,0.9404,0.6395,0.8505,0.4952,-0.0853,0.0553,38,24,10,10
B00005QDPZ,0.8139,0.6983,0.6497,0.3759,-0.0476,-0.0127,18,11,4,6
B00005QEFD,0.9336,0.7386,0.8204,0.3467,0.1215,0.2417,28,13,11,6
B00005TNI6,0.6551,0.4844,0.7188,0.1882,-0.0181,0.0451,62,40,42,24
B00005UK88,0.76,0.5344,0.6178,0.3437,0.1142,-0.1723,22,15,6,9
B00005ULXN,0.5526,0.5528,0.8447,0.1958,-0.151,-0.0716,23,15,5,2
B0000657SP,0.3976,0.2208,0.608,0.1233,-0.0155,0.3134,41,21,10,12
