item_id,nli_raw_story,nli_raw_acting,nli_raw_visuals,nli_ctr_story,nli_ctr_acting,nli_ctr_visuals,n_reviews,n_story,n_acting,n_visuals
076780192X,0.7359,0.7391,0.8006,0.1973,0.071,0.1543,249,115,70,85
0767803434,0.7048,0.7978,0.6834,0.1109,0.1757,-0.0354,221,100,94,46
0767805534,0.1924,0.329,0.3771,-0.0121,-0.0111,0.1919,122,54,40,30
0767805712,0.6065,0.7558,0.6785,0.1443,0.1788,0.0835,206,107,85,50
0767809254,0.7867,0.8687,0.3569,0.1711,0.2325,-0.0515,177,77,73,12
0767817664,0.8201,0.7832,0.8033,0.0945,0.104,0.1419,112,58,58,47
0767824571,0.7554,0.7525,0.6787,0.4689,0.0706,0.0315,224,101,33,21
0767827759,-0.0698,0.0342,0.2204,-0.0538,0.0922,0.2131,161,97,64,47
0767830555,0.4226,0.7291,0.798,-0.0041,0.2701,0.1427,216,79,81,51
0767834739,0.2385,0.2785,0.3519,0.02,0.0367,0.0488,415,245,181,146
0767853636,0.3838,0.4667,0.4033,0.2366,0.2005,0.3545,161,44,28,18
0780621832,0.7167,0.785,0.7808,0.098,0.1918,0.1324,114,38,40,32
0780622383,0.8081,0.91,0.7776,0.1101,0.1981,0.0334,119,60,63,26
0780623614,0.6405,0.7339,0.8537,0.2247,0.2364,0.0427,103,41,34,14
0780635299,0.5684,0.677,0.5329,0.0694,0.0944,0.0457,148,79,67,21
0782008372,0.5785,0.3293,0.1786,0.1884,0.0167,-0.0651,180,65,53,58
0782010792,0.8604,0.9184,0.8114,0.3013,0.0734,0.3168,392,172,98,70
0783112750,0.4419,0.6127,0.3651,0.2127,0.2087,0.0005,165,64,41,23
0783116926,0.8231,0.9085,0.7097,0.2371,0.1953,-0.0101,99,57,47,31
0783217048,0.8406,0.8902,0.8677,0.1662,0.1257,0.0667,91,42,36,10
0783225857,0.8101,0.8513,0.6548,0.2715,0.1523,-0.0324,310,139,101,45
0783225911,0.7115,0.7964,0.8669,0.1954,0.2621,0.4746,112,31,30,13
0783226853,0.8865,0.7337,0.533,0.2332,0.1312,-0.0147,107,46,52,20
078322687X,0.7185,0.6488,0.5905,0.3638,0.1392,0.1122,225,95,60,23
0783227272,0.304,0.5451,0.3265,0.046,0.2235,0.1023,116,58,49,13
0783227361,0.517,0.6936,0.5558,0.2049,0.1124,0.0141,110,54,29,9
0783229569,-0.0011,0.1325,0.3693,-0.0304,0.0933,0.1637,127,55,37,19
0783231032,0.143,0.5291,-0.0189,0.1094,0.3935,0.0329,95,32,27,15
0783234287,0.5115,0.6788,0.7813,0.1632,0.111,0.3334,104,40,36,27
0783239408,0.4394,0.7243,0.5991,0.009,0.2037,0.0234,354,221,199,89
0783241569,0.7623,0.748,0.7118,0.2038,0.0754,0.2062,149,71,59,10
0783243499,0.3464,0.5929,0.2952,0.0066,0.2567,0.1062,234,121,122,43
0784010331,0.6807,0.7205,0.6446,0.1623,0.0341,0.1712,189,97,71,86
